"IX","IY","IZ","X","Y","Z","Mined Block","Period Mined","Period Processed","Destination","Grade_Cu_%","Value","Specific Gravity","Slope","process","waste","Sum_process_hours"
"6","2","4","65,000,000","25,000,000","45,000,000","1","2","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"7","2","4","75,000,000","25,000,000","45,000,000","1","2","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"2","3","4","25,000,000","35,000,000","45,000,000","1","3","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"3","3","4","35,000,000","35,000,000","45,000,000","1","2","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"4","3","4","45,000,000","35,000,000","45,000,000","1","1","1","1","0.110000","33,136,433,644","2,850,000","45,000,000","-212,508","-2850","10"
"5","3","4","55,000,000","35,000,000","45,000,000","1","1","1","1","0.820000","49,643,361,776","3,010,000","45,000,000","95467.8","-3010","10"
"6","3","4","65,000,000","35,000,000","45,000,000","1","1","1","1","0.360000","6,168,177,855","2,850,000","45,000,000","33136.4","-2980","10"
"7","3","4","75,000,000","35,000,000","45,000,000","1","2","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"2","4","4","25,000,000","45,000,000","45,000,000","1","3","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"3","4","4","35,000,000","45,000,000","45,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"4","4","4","45,000,000","45,000,000","45,000,000","1","1","1","1","0.500000","95,467,821,320","3,010,000","45,000,000","52338.9","-3010","10"
"5","4","4","55,000,000","45,000,000","45,000,000","1","1","1","1","0.160000","52,338,915,441","3,010,000","45,000,000","6168.17","-2850","10"
"6","4","4","65,000,000","45,000,000","45,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"7","4","4","75,000,000","45,000,000","45,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"8","4","4","85,000,000","45,000,000","45,000,000","1","3","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"1","5","4","15,000,000","55,000,000","45,000,000","1","3","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"2","5","4","25,000,000","55,000,000","45,000,000","1","2","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"3","5","4","35,000,000","55,000,000","45,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"4","5","4","45,000,000","55,000,000","45,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"5","5","4","55,000,000","55,000,000","45,000,000","1","1","1","1","0.480000","-212,508,312","2,850,000","45,000,000","49643.4","-3010","10"
"6","5","4","65,000,000","55,000,000","45,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"7","5","4","75,000,000","55,000,000","45,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"8","5","4","85,000,000","55,000,000","45,000,000","1","2","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"2","6","4","25,000,000","65,000,000","45,000,000","1","3","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"3","6","4","35,000,000","65,000,000","45,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"4","6","4","45,000,000","65,000,000","45,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"5","6","4","55,000,000","65,000,000","45,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"6","6","4","65,000,000","65,000,000","45,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"7","6","4","75,000,000","65,000,000","45,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"8","6","4","85,000,000","65,000,000","45,000,000","1","3","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"2","7","4","25,000,000","75,000,000","45,000,000","1","3","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"3","7","4","35,000,000","75,000,000","45,000,000","1","3","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"4","7","4","45,000,000","75,000,000","45,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"5","7","4","55,000,000","75,000,000","45,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"6","7","4","65,000,000","75,000,000","45,000,000","1","1","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"7","7","4","75,000,000","75,000,000","45,000,000","1","3","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"4","8","4","45,000,000","85,000,000","45,000,000","1","3","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
"5","8","4","55,000,000","85,000,000","45,000,000","1","2","-99","2","0.000000","-2,850,000,000","2,850,000","45,000,000","-14250","-2850","10"
